date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_year,processed_log_return_wtmra_0_month,processed_log_return_wtmra_0_day,processed_log_return_wtmra_0_hour,processed_log_return_wtmra_0_dayofweek,processed_log_return_wtmra_0_dayofyear,processed_log_return_wtmra_0_days_in_month
2018-12-31 00:00:00,0.1681665232872064,2018,12,31,0,0,365,31
2018-12-31 01:00:00,-0.0978541210038282,2018,12,31,1,0,365,31
2018-12-31 02:00:00,0.0872256060798066,2018,12,31,2,0,365,31
2018-12-31 03:00:00,-0.3632372555498557,2018,12,31,3,0,365,31
2018-12-31 04:00:00,0.3542601214511414,2018,12,31,4,0,365,31
2018-12-31 05:00:00,0.0058674358857942,2018,12,31,5,0,365,31
2018-12-31 06:00:00,-0.2108728615626653,2018,12,31,6,0,365,31
2018-12-31 07:00:00,0.2244926719160375,2018,12,31,7,0,365,31
2018-12-31 08:00:00,-0.1247571123430049,2018,12,31,8,0,365,31
2018-12-31 09:00:00,-0.0651007404827796,2018,12,31,9,0,365,31
2018-12-31 10:00:00,0.1400138612116713,2018,12,31,10,0,365,31
2018-12-31 11:00:00,0.0070667845724801,2018,12,31,11,0,365,31
2018-12-31 12:00:00,-0.165963394078107,2018,12,31,12,0,365,31
2018-12-31 13:00:00,0.1584044736498819,2018,12,31,13,0,365,31
2018-12-31 14:00:00,-0.1890271010386873,2018,12,31,14,0,365,31
2018-12-31 15:00:00,0.3088583775306748,2018,12,31,15,0,365,31
2018-12-31 16:00:00,-0.1757724823632799,2018,12,31,16,0,365,31
2018-12-31 17:00:00,-0.1647836104083499,2018,12,31,17,0,365,31
2018-12-31 18:00:00,0.2080693978710351,2018,12,31,18,0,365,31
2018-12-31 19:00:00,0.184652778895194,2018,12,31,19,0,365,31
2018-12-31 20:00:00,-0.4503334260426151,2018,12,31,20,0,365,31
2018-12-31 21:00:00,0.2842496879583386,2018,12,31,21,0,365,31
2018-12-31 22:00:00,-0.1448999549505296,2018,12,31,22,0,365,31
2018-12-31 23:00:00,0.1402909958698409,2018,12,31,23,0,365,31
2019-01-01 00:00:00,-0.0790860651246357,2019,1,1,0,1,1,31
2019-01-01 01:00:00,0.1005480581066384,2019,1,1,1,1,1,31
2019-01-01 02:00:00,-0.0919602755265792,2019,1,1,2,1,1,31
2019-01-01 03:00:00,-0.0579552554040766,2019,1,1,3,1,1,31
2019-01-01 04:00:00,0.0560731460647873,2019,1,1,4,1,1,31
2019-01-01 05:00:00,0.0757102984184438,2019,1,1,5,1,1,31
2019-01-01 06:00:00,-0.0848335404849859,2019,1,1,6,1,1,31
2019-01-01 07:00:00,0.0445643155808278,2019,1,1,7,1,1,31
2019-01-01 08:00:00,-0.1039836946357721,2019,1,1,8,1,1,31
2019-01-01 09:00:00,0.2263578508520036,2019,1,1,9,1,1,31
2019-01-01 10:00:00,-0.2330687986736015,2019,1,1,10,1,1,31
2019-01-01 11:00:00,0.1193884243802373,2019,1,1,11,1,1,31
2019-01-01 12:00:00,-0.1043344484202486,2019,1,1,12,1,1,31
2019-01-01 13:00:00,0.1142753940148278,2019,1,1,13,1,1,31
2019-01-01 14:00:00,0.0383093408774861,2019,1,1,14,1,1,31
2019-01-01 15:00:00,-0.12310554907821,2019,1,1,15,1,1,31
2019-01-01 16:00:00,-0.0361739496536137,2019,1,1,16,1,1,31
2019-01-01 17:00:00,0.2107638119706138,2019,1,1,17,1,1,31
2019-01-01 18:00:00,-0.0819146064612014,2019,1,1,18,1,1,31
2019-01-01 19:00:00,-0.3208559726110848,2019,1,1,19,1,1,31
2019-01-01 20:00:00,0.3082581737750001,2019,1,1,20,1,1,31
2019-01-01 21:00:00,0.2589578556804898,2019,1,1,21,1,1,31
2019-01-01 22:00:00,-0.4615679531182891,2019,1,1,22,1,1,31
2019-01-01 23:00:00,0.0636099628460958,2019,1,1,23,1,1,31
2019-01-02 00:00:00,0.2400154242023426,2019,1,2,0,2,2,31
2019-01-02 01:00:00,-0.09298195458098,2019,1,2,1,2,2,31
2019-01-02 02:00:00,-0.1686820724524148,2019,1,2,2,2,2,31
2019-01-02 03:00:00,0.1777112207233245,2019,1,2,3,2,2,31
2019-01-02 04:00:00,-0.0862267391102495,2019,1,2,4,2,2,31
2019-01-02 05:00:00,0.1236296976596632,2019,1,2,5,2,2,31
2019-01-02 06:00:00,-0.0825559327086182,2019,1,2,6,2,2,31
2019-01-02 07:00:00,-0.2411628490432035,2019,1,2,7,2,2,31
2019-01-02 08:00:00,0.4305542790403113,2019,1,2,8,2,2,31
2019-01-02 09:00:00,-0.1228471519339595,2019,1,2,9,2,2,31
2019-01-02 10:00:00,-0.3667699226911078,2019,1,2,10,2,2,31
2019-01-02 11:00:00,0.6297397676305628,2019,1,2,11,2,2,31
2019-01-02 12:00:00,-0.4348193950189856,2019,1,2,12,2,2,31
2019-01-02 13:00:00,-0.1854730059253747,2019,1,2,13,2,2,31
2019-01-02 14:00:00,0.6282950849412166,2019,1,2,14,2,2,31
2019-01-02 15:00:00,-0.328652272015188,2019,1,2,15,2,2,31
2019-01-02 16:00:00,-0.2299836261617489,2019,1,2,16,2,2,31
2019-01-02 17:00:00,0.3202594277174883,2019,1,2,17,2,2,31
2019-01-02 18:00:00,-0.0994725333786054,2019,1,2,18,2,2,31
2019-01-02 19:00:00,-0.0699755495549666,2019,1,2,19,2,2,31
2019-01-02 20:00:00,0.133053764729645,2019,1,2,20,2,2,31
2019-01-02 21:00:00,-0.2235274470786283,2019,1,2,21,2,2,31
2019-01-02 22:00:00,0.2634828127909293,2019,1,2,22,2,2,31
2019-01-02 23:00:00,-0.016031216291249,2019,1,2,23,2,2,31
2019-01-03 00:00:00,-0.0277862572313025,2019,1,3,0,3,3,31
2019-01-03 01:00:00,-0.3547814071233875,2019,1,3,1,3,3,31
2019-01-03 02:00:00,0.4431647651188883,2019,1,3,2,3,3,31
2019-01-03 03:00:00,-0.1904430600837744,2019,1,3,3,3,3,31
2019-01-03 04:00:00,0.0413492485320085,2019,1,3,4,3,3,31
2019-01-03 05:00:00,0.0577752779924237,2019,1,3,5,3,3,31
2019-01-03 06:00:00,-0.1602949182039156,2019,1,3,6,3,3,31
2019-01-03 07:00:00,0.0870542593333747,2019,1,3,7,3,3,31
2019-01-03 08:00:00,0.2514221151228124,2019,1,3,8,3,3,31
2019-01-03 09:00:00,-0.4669132044635073,2019,1,3,9,3,3,31
2019-01-03 10:00:00,0.1961651331187311,2019,1,3,10,3,3,31
2019-01-03 11:00:00,0.2436947798741044,2019,1,3,11,3,3,31
2019-01-03 12:00:00,-0.5064404017293361,2019,1,3,12,3,3,31
2019-01-03 13:00:00,0.446450497040855,2019,1,3,13,3,3,31
2019-01-03 14:00:00,-0.0688621063056555,2019,1,3,14,3,3,31
2019-01-03 15:00:00,-0.3078173507598349,2019,1,3,15,3,3,31
2019-01-03 16:00:00,0.5620958740102213,2019,1,3,16,3,3,31
2019-01-03 17:00:00,-0.6343360813048574,2019,1,3,17,3,3,31
2019-01-03 18:00:00,0.4160978148530311,2019,1,3,18,3,3,31
2019-01-03 19:00:00,-0.1474267264484112,2019,1,3,19,3,3,31
2019-01-03 20:00:00,-0.1273995094914978,2019,1,3,20,3,3,31
2019-01-03 21:00:00,0.4034723304302399,2019,1,3,21,3,3,31
2019-01-03 22:00:00,-0.4091686292028551,2019,1,3,22,3,3,31
2019-01-03 23:00:00,0.3205672082164228,2019,1,3,23,3,3,31
2019-01-04 00:00:00,-0.257316255675999,2019,1,4,0,4,4,31
2019-01-04 01:00:00,0.0012589039513379,2019,1,4,1,4,4,31
2019-01-04 02:00:00,0.3218431773280351,2019,1,4,2,4,4,31
2019-01-04 03:00:00,-0.5286944166998784,2019,1,4,3,4,4,31
2019-01-04 04:00:00,0.5241500566975028,2019,1,4,4,4,4,31
2019-01-04 05:00:00,-0.3483536223992543,2019,1,4,5,4,4,31
2019-01-04 06:00:00,0.1896254047135142,2019,1,4,6,4,4,31
2019-01-04 07:00:00,-0.0367785619235751,2019,1,4,7,4,4,31
2019-01-04 08:00:00,0.0129062640221194,2019,1,4,8,4,4,31
2019-01-04 09:00:00,-0.0852896483267517,2019,1,4,9,4,4,31
2019-01-04 10:00:00,-0.1364718116763958,2019,1,4,10,4,4,31
2019-01-04 11:00:00,0.5080820316059452,2019,1,4,11,4,4,31
2019-01-04 12:00:00,-0.5896995172720203,2019,1,4,12,4,4,31
