scenario,R2,MAPE,MAE,RMSE,name
TDA,0.008659184,174.48837,0.21029629,0.27153465,benchmark
TDA,-0.4434514,180.64505,0.22619453,0.32765353,
datetime,0.008659184,174.48837,0.21029629,0.27153465,benchmark
datetime,-0.69756603,390.11072,0.29601425,0.35532612,
difference-and-change,0.008659184,174.48837,0.21029629,0.27153465,benchmark
difference-and-change,-0.3269062,307.53195,0.24822564,0.3141477,
embedding,0.008659184,174.48837,0.21029629,0.27153465,benchmark
embedding,0.12930131,200.40135,0.20858258,0.25447652,
lagged,0.008659184,174.48837,0.21029629,0.27153465,benchmark
lagged,-0.019955277,221.4948,0.20868117,0.2754256,
temporal-decomposition,0.008659184,174.48837,0.21029629,0.27153465,benchmark
temporal-decomposition,-0.46039546,209.76308,0.2547398,0.329571,
