initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,336,2018-12-31,2019-01-14,6.961434208607241,4.636821118783703,0.0,0.058350713880987705,0.006538264580473749,2.3030217069874147e-06,167,39,1
24,336,2019-01-01,2019-01-15,6.950005999302863,4.432796577400857,0.0,0.058350713880987705,0.00884967224682483,5.856527380303297e-05,167,36,1
48,336,2019-01-02,2019-01-16,6.978455090645002,4.738312671665186,-1.0,0.058350713880987705,0.00920149815570559,0.0,167,37,0
72,336,2019-01-03,2019-01-17,6.926892033822087,4.4745712050996485,-1.0,0.058350713880987705,0.009001651110937509,0.0,167,32,0
96,336,2019-01-04,2019-01-18,6.90407308547892,4.437234767888139,-1.0,0.058350713880987705,0.005081672662254809,0.0,167,29,0
120,336,2019-01-05,2019-01-19,6.931172687873141,4.3123007071116195,-1.0,0.04288808792026943,0.006638660899806809,0.0,167,34,0
144,336,2019-01-06,2019-01-20,6.90983854698661,4.4040631843955875,-1.0,0.04288808792026943,0.006911563175122109,0.0,167,32,0
168,336,2019-01-07,2019-01-21,6.941249498431531,4.638393038578385,-1.0,0.04288808792026943,0.0038709385505797476,0.0,167,37,0
192,336,2019-01-08,2019-01-22,6.9409919641202595,4.435692365413684,-1.0,0.04288808792026943,0.00591089168687581,0.0,167,33,0
216,336,2019-01-09,2019-01-23,6.92321685390325,4.443223334215013,0.0,0.04288808792026943,0.005734432151453661,9.827685916502972e-05,167,35,1
240,336,2019-01-10,2019-01-24,6.974883900393844,4.5786374671712,-1.0,0.04177413926172,0.005586979422604849,0.0,167,38,0
264,336,2019-01-11,2019-01-25,6.947253810689255,4.600976796321523,0.0,0.04212215203431351,0.0047050714826549645,8.043685093348174e-06,167,35,1
288,336,2019-01-12,2019-01-26,6.840612148242018,4.783118898871121,0.0,0.05394335873109362,0.005117606844461613,2.050954897525904e-07,167,42,1
312,336,2019-01-13,2019-01-27,6.8350574412266,4.607330125547104,-1.0,0.05394335873109362,0.004851869652653957,0.0,167,37,0
336,336,2019-01-14,2019-01-28,6.818889081487157,4.664080590481132,-1.0,0.05394335873109362,0.00683751710250302,0.0,167,39,0
360,336,2019-01-15,2019-01-29,6.813976109129835,4.541116902812765,-1.0,0.05394335873109362,0.007609431497486978,0.0,167,37,0
384,336,2019-01-16,2019-01-30,6.795212565350668,4.501711464666297,0.0,0.05394335873109362,0.004456126760522189,1.7882034038449654e-06,167,36,1
408,336,2019-01-17,2019-01-31,6.881342336455628,4.533095557063194,-1.0,0.027341655007319412,0.004944924272219338,0.0,167,40,0
432,336,2019-01-18,2019-02-01,6.941959470540005,4.512972917975375,0.0,0.022493560699417187,0.00569456147653795,0.0001816593713989958,167,40,1
456,336,2019-01-19,2019-02-02,6.939961528498537,4.434903853506103,0.0,0.022493560699417187,0.002983169552157054,2.478176045758938e-08,167,34,1
480,336,2019-01-20,2019-02-03,6.986345465537973,4.4481275160686495,-1.0,0.022493560699417187,0.0027814123985112037,0.0,167,35,0
504,336,2019-01-21,2019-02-04,6.9642756346371675,4.240688537047581,-1.0,0.022493560699417187,0.0022843142162375686,0.0,167,34,0
528,336,2019-01-22,2019-02-05,6.974710319917383,4.453063910883617,-1.0,0.018032665692161522,0.0038444384464890583,0.0,167,36,0
552,336,2019-01-23,2019-02-06,6.936288052141896,4.447357567283847,0.0,0.018032665692161522,0.0056486545211295956,0.00015850145916533815,167,36,1
576,336,2019-01-24,2019-02-07,6.916989421487943,4.594988822571663,0.9168781150938939,0.021500514364488,0.004744900563835148,0.0,167,40,2
600,336,2019-01-25,2019-02-08,6.9094998606558,4.8008900719126375,0.7118806449555497,0.018032665692161522,0.0032549102036658084,2.2996648463353464e-05,167,43,2
624,336,2019-01-26,2019-02-09,6.935778962163179,4.8431275398228095,-1.0,0.020174908587173235,0.0037034659629706494,0.0,167,45,0
648,336,2019-01-27,2019-02-10,6.99311069764679,4.93218085101186,0.0,0.018890083974155075,0.0033518633235329505,1.8968040033907984e-05,167,44,1
672,336,2019-01-28,2019-02-11,6.99077878036662,4.755148911686342,0.0,0.02180647443132776,0.0028848696754754668,2.0519683801319504e-06,167,36,1
696,336,2019-01-29,2019-02-12,6.911257769524638,4.356717974791803,0.0,0.03853311093623272,0.005315143012328247,2.0519683801319504e-06,167,33,1
720,336,2019-01-30,2019-02-13,6.943845321212463,4.419755635549243,-1.0,0.03853311093623272,0.004525577514268477,0.0,167,35,0
744,336,2019-01-31,2019-02-14,6.945932558145712,4.36459670110912,-1.0,0.03853311093623272,0.0050453448750574755,0.0,167,34,0
768,336,2019-02-01,2019-02-15,6.907232831651879,4.350652009764209,-1.0,0.03382725702715259,0.005111227011871057,0.0,167,32,0
792,336,2019-02-02,2019-02-16,6.865896690957251,4.056019806445217,-1.0,0.03382725702715259,0.0038531109889834597,0.0,167,27,0
816,336,2019-02-03,2019-02-17,6.895715572830161,4.607981667100595,0.0,0.03382725702715259,0.003275879745327412,3.1522430373331535e-06,167,38,1
840,336,2019-02-04,2019-02-18,6.960167718590182,4.630378965152064,0.0,0.03382725702715259,0.002879908621496012,1.0972493762170798e-05,167,35,1
864,336,2019-02-05,2019-02-19,6.88195640179815,4.6558783862497055,-1.0,0.059038557067241995,0.003035912793696295,0.0,167,36,0
888,336,2019-02-06,2019-02-20,6.832141221981103,4.7447003356858035,-1.0,0.059038557067241995,0.0025667031327691295,0.0,167,37,0
912,336,2019-02-07,2019-02-21,6.906362777734013,4.54932222869478,-1.0,0.059038557067241995,0.005247678312365129,0.0,167,36,0
936,336,2019-02-08,2019-02-22,6.949511749618794,4.522912820256297,-1.0,0.046936223222378684,0.0049773546365679665,0.0,167,37,0
960,336,2019-02-09,2019-02-23,6.947984175874909,4.384332669274958,-1.0,0.03851843153120217,0.005837972478493343,0.0,167,32,0
984,336,2019-02-10,2019-02-24,6.9370287590391175,4.50095972495216,-1.0,0.03851843153120217,0.006323145952421314,0.0,167,35,0
1008,336,2019-02-11,2019-02-25,6.9328013541478075,4.603947544935384,-1.0,0.03851843153120217,0.00885751589552834,0.0,167,38,0
1032,336,2019-02-12,2019-02-26,6.955548463499378,4.579194455747119,-1.0,0.03583387170010896,0.010143686933520754,0.0,167,42,0
1056,336,2019-02-13,2019-02-27,6.963648382518218,4.8081270970099945,-1.0,0.03583387170010896,0.007047908456390275,0.0,167,43,0
1080,336,2019-02-14,2019-02-28,6.99463920973837,4.660976491942094,-1.0,0.03485099493987816,0.005159240888774806,0.0,167,39,0
1104,336,2019-02-15,2019-03-01,7.029568666002444,4.49738370314557,-1.0,0.03485099493987816,0.005438230711258332,0.0,167,32,0
1128,336,2019-02-16,2019-03-02,7.023920061097796,4.671258992450025,0.0,0.03485099493987816,0.0055719812726989495,1.8893227046431162e-06,167,35,1
1152,336,2019-02-17,2019-03-03,6.9899722762307235,4.688290372795156,-1.0,0.041886876594577856,0.007915712282474553,0.0,167,35,0
1176,336,2019-02-18,2019-03-04,6.908672178362617,4.757675388224308,-1.0,0.04399975049653851,0.01104445744214313,0.0,167,42,0
1200,336,2019-02-19,2019-03-05,6.970394228472061,4.676392245250421,-1.0,0.04101552590530271,0.0074547529982854615,0.0,167,38,0
1224,336,2019-02-20,2019-03-06,6.937397989975726,4.626504426021407,-1.0,0.04101552590530271,0.005319285782928621,0.0,167,37,0
1248,336,2019-02-21,2019-03-07,6.9766530548388435,4.541889320990707,0.0,0.041145883774620175,0.005578715713051757,3.409267899292071e-06,167,38,1
1272,336,2019-02-22,2019-03-08,6.972843820046054,4.159354893030825,-1.0,0.041145883774620175,0.005550322384625324,0.0,167,30,0
1296,336,2019-02-23,2019-03-09,6.97798942689001,4.794826755674578,-1.0,0.041145883774620175,0.0033262699546585143,0.0,167,39,0
1320,336,2019-02-24,2019-03-10,6.982563852493363,4.487114372624625,-1.0,0.041145883774620175,0.004416060635683452,0.0,167,34,0
1344,336,2019-02-25,2019-03-11,6.901055837986187,4.349102849547368,-1.0,0.041145883774620175,0.004521836441281074,0.0,167,33,0
1368,336,2019-02-26,2019-03-12,6.892274015530608,4.217874477528328,-1.0,0.041145883774620175,0.004113200219904487,0.0,167,32,0
1392,336,2019-02-27,2019-03-13,6.95573527144443,4.305581080310146,-1.0,0.022716843684671334,0.003362861353388685,0.0,167,33,0
1416,336,2019-02-28,2019-03-14,6.998155193463497,4.5557763851885476,-1.0,0.0327018987938908,0.003042653631327232,0.0,167,39,0
1440,336,2019-03-01,2019-03-15,6.9859787971845515,4.396782545977715,-1.0,0.03236991200280763,0.004289385214649132,0.0,167,36,0
1464,336,2019-03-02,2019-03-16,6.979169199036878,4.518508586925066,-1.0,0.03236991200280763,0.004932980565908984,0.0,167,39,0
1488,336,2019-03-03,2019-03-17,6.825648469811632,4.41198781936693,-1.0,0.037852409559747946,0.004927112445623942,0.0,167,35,0
